NumAeronaves,Aircraft A,Aircraft A Ini Man Time,Aircraft A Ini Man Lat,Aircraft A Ini Man Lon,Aircraft A Ini Man Alt,Aircraft A Ini Man Vel_xy,Aircraft A Ini Man Vel_z,Aircraft A Ini Man Track,Speed Maneuver,Altitude Maneuver,Track Maneuver,Aircraft A End Man Time,Aircraft A End Man Lat,Aircraft A End Man Lon,Aircraft A End Man Alt,Aircraft A End Man Vel_xy,Aircraft A End Man Vel_z,Aircraft A End Man Track,Aircraft A Conflict Time,Aircraft A Conflict Lat,Aircraft A Conflict Lon,Aircraft A Conflict Alt,Aircraft A Conflict Vel_xy,Aircraft A Conflict Vel_z,Aircraft A Conflict Track,Aircraft B,Aircraft B Conflict Time,Aircraft B Conflict Lat,Aircraft B Conflict Lon,Aircraft B Conflict Alt,Aircraft B Conflict Vel_xy,Aircraft B Conflict Vel_z,Aircraft B Conflict Track
5785,740731,2023-07-27 11:41:30,46.35364789787016,11.351646240303696,10588.570026420892,266.8772111765037,-9.297583858051066,147.2828210011887,0,0,-1,2023-07-27 12:16:30,43.10953993777783,16.98308381099561,10677.2089221317,278.8954947027799,0.04744319877160326,129.71836547240332,2023-07-27 11:57:30,44.93629096620133,13.94381409863097,10629.090664460111,273.6958832152979,0.0,126.5487509619092,440190,2023-07-27 11:57:07,44.96789942528736,13.960712931034482,10972.0,238.22786968925817,0.0,34.0
5785,800738,2023-07-27 11:08:37,23.244391196270875,51.05799299586467,11778.435452674321,103.8551159654384,-2.6026599761563363,93.80967629764645,1,0,0,2023-07-27 11:23:37,22.72289339000206,53.232622135738154,11760.682687864577,107.107898554546,11.348355524088193,97.4664678078273,2023-07-27 11:24:37,23.021405836037054,52.00109682082593,11770.545334981094,98.57546640281143,-7.116666666666671,97.49718476855416,71005b,2023-07-27 11:24:04,23.02506,52.0289,11338.0,258.93731187037315,-7.116666666666671,250.0
5785,80073d,2023-07-27 12:43:28,49.12096214479791,15.520359217396596,11376.81336911311,290.36469703319005,-1.2419268149638965,106.86741847268318,-1,0,0,2023-07-27 13:00:28,47.90328713204034,19.00195051773279,11765.456462661463,282.6370921849464,1.470632744805313,125.31091251900938,2023-07-27 12:54:28,48.328788498974504,17.83376489480605,11644.005495927611,165.4360043631279,0.0,112.81442466760929,484f18,2023-07-27 12:53:30,48.31211720930233,17.94037488372093,11582.0,199.96354701984205,0.0,308.26976744186044
5785,800c42,2023-07-27 11:52:21,27.070020793254105,49.63275326369271,10681.761504164868,102.15268957131529,-0.0012785177492052936,91.87418414949046,1,0,0,2023-07-27 12:11:21,26.48957798717448,52.3717433498296,10498.18720677945,110.73963615029422,-1.861778201903853,110.53524171599788,2023-07-27 12:01:21,26.95929403428289,50.17466896395907,10645.046644687776,313.1970970988832,0.0,104.12401561139279,896411,2023-07-27 12:00:23,26.8817515625,50.112120312500004,10668.0,145.65393893982872,0.0,98.46875
5785,8953e3,2023-07-27 12:14:29,41.00780984002059,25.482530926596457,11673.747686157021,281.8525098420507,-0.732973202543855,80.88959983681232,0,0,1,2023-07-27 12:36:29,40.41018897774573,29.844600328692703,11697.95722502236,290.240312264066,-8.415327865884038,97.93580671403653,2023-07-27 12:25:29,40.7307437263205,27.65884311969497,11685.852455589693,289.3461231875628,0.0,105.48798232957319,4891b0,2023-07-27 12:25:27,40.78218888888889,27.5541,11277.0,257.0846773517042,0.0,149.25925925925927
5785,89618a,2023-07-27 12:11:58,47.391647040981624,11.570543061234948,11799.184420111967,283.6592943638133,-4.113276530409618,98.12553615353217,-1,0,0,2023-07-27 12:31:58,46.85255876811017,16.007459219780042,11886.76881344595,292.0179890090571,-0.012820253600462527,101.70418952828827,2023-07-27 12:16:58,47.27323526494219,12.682885114760992,11821.080518445458,189.29240229208793,-2.256270821085634,97.55003075825847,80073a,2023-07-27 12:16:08,47.268159259259264,12.7112,12011.25925925926,219.28426395823416,-2.256270821085634,278.0
5785,8964a7,2023-07-27 11:55:26,44.5702227119746,25.594222756243216,10978.237674139791,190.11378318545655,0.6447511097500667,300.3052184794164,1,0,0,2023-07-27 13:54:26,50.42495436521159,7.8380344206161165,8543.958030822301,199.84404866816598,-15.18536993259344,293.6169049240786,2023-07-27 12:09:26,45.32729363967377,23.874162403533425,10714.052286492935,258.27037338208453,-0.013034188034188432,298.6744311089682,896214,2023-07-27 12:08:30,45.289606666666664,23.96824,11470.166666666666,229.45489178950302,-0.013034188034188432,300.0
5785,896513,2023-07-27 11:16:43,41.075506611035884,25.940497259787254,10604.122356630387,276.1416680408727,-6.8764092129260685,83.19292975753638,0,0,1,2023-07-27 11:29:43,40.73118381498389,28.401537052825464,10668.969964657028,274.92647995148843,0.10126076106833862,100.93642880694252,2023-07-27 11:17:43,41.050257046541994,26.134768398109845,10609.52632396594,276.2151946976456,-0.14251937659139857,85.82379030447741,706068,2023-07-27 11:17:28,41.1311649122807,26.16384649122807,11113.798245614034,268.8231334624295,-0.14251937659139857,91.46491228070175
5785,a07dcd,2023-07-27 11:51:52,38.84084660977622,-88.94233869780327,10880.833707372058,255.25754937534086,-0.6209023789268644,271.323719955396,0,1,0,2023-07-27 12:39:52,37.804166357211194,-97.26829793368158,10864.049394593336,277.0903925499776,9.399370873339375,256.289131862019,2023-07-27 12:12:52,38.45976989614651,-92.60516376373675,10873.490570531349,210.89861858069236,0.0,259.00234613246715,abfe1c,2023-07-27 12:12:25,38.39674746906637,-92.70990011248594,10668.0,229.82874799911858,0.0,109.45556805399325
5785,a08a1a,2023-07-27 12:19:27,34.285534721772365,-100.6761993284686,9936.81506005005,229.9041790690852,-9.194813935905096,87.70527769173867,0,1,0,2023-07-27 17:51:27,34.83383034828094,-87.69562270459959,9892.338796715056,231.9326240552562,0.07934104116343406,245.47297506757423,2023-07-27 12:26:27,34.381373876134276,-99.63326478823785,9933.194899080923,231.72941638517307,0.0,91.07367108041745,a44938,2023-07-27 12:26:12,34.42227270668177,-99.65649014722537,10363.0,1598.812899834939,0.0,290.53680634201584
