Date,NumAeronaves,Aircraft A,Aircraft A Ini Man Time,Aircraft A Ini Man Lat,Aircraft A Ini Man Lon,Aircraft A Ini Man Alt,Aircraft A Ini Man Vel_xy,Aircraft A Ini Man Vel_z,Aircraft A Ini Man Track,Speed Maneuver,Altitude Maneuver,Track Maneuver,Aircraft A End Man Time,Aircraft A End Man Lat,Aircraft A End Man Lon,Aircraft A End Man Alt,Aircraft A End Man Vel_xy,Aircraft A End Man Vel_z,Aircraft A End Man Track,Aircraft A Conflict Time,Aircraft A Conflict Lat,Aircraft A Conflict Lon,Aircraft A Conflict Alt,Aircraft A Conflict Vel_xy,Aircraft A Conflict Vel_z,Aircraft A Conflict Track,Aircraft B,Aircraft B Conflict Time,Aircraft B Conflict Lat,Aircraft B Conflict Lon,Aircraft B Conflict Alt,Aircraft B Conflict Vel_xy,Aircraft B Conflict Vel_z,Aircraft B Conflict Track
20230528,146,4d231c,2023-05-28 12:57:20,46.722084914228894,6.380637288730638,10581.193988071907,241.2554971238403,-3.732811068701496,193.20613872085946,0,0,1,2023-05-28 13:11:20,45.26805488144611,5.143064979747862,10529.402364079475,227.96891497454436,0.5554977058660964,208.83191812258278,2023-05-28 13:02:20,46.08815557065873,6.165854415508932,10581.193988071907,229.45036396909916,-0.0013242630385475484,210.02962510821982,4cafc3,2023-05-28 13:02:14,46.15416095238095,6.19482619047619,10972.521904761905,223.56732960755323,-0.0013242630385475484,49.306619047619044
20230520,246,89630d,2023-05-20 04:27:42,26.712523338506355,50.94335580965788,10913.93706292265,246.17237297661012,-0.25882650551173714,295.2574202798564,0,0,1,2023-05-20 05:02:42,30.244297860510137,47.59225698977406,10975.189697927888,249.77391059189128,0.6561858534185901,310.4253048177821,2023-05-20 04:27:42,26.712523338506355,50.94335580965788,10913.93706292265,246.17237297661012,0.0,295.2574202798564,896532,2023-05-20 04:27:33,26.7288,50.87121518771331,10363.0,225.53257123868576,0.0,292.70307167235495
20230520,246,896457,2023-05-20 05:03:28,42.49961689084642,30.85443477904843,11582.97351848171,246.67931695871437,0.00251360263948632,287.35970482458515,0,0,1,2023-05-20 05:18:28,43.624964744867995,28.639211089175166,11631.916658343058,249.03356192051945,1.113178779802144,303.8891083249647,2023-05-20 05:13:28,42.89585472602497,29.12984967001836,11582.97351848171,242.31589416850872,0.0,309.27232157887954,44cca1,2023-05-20 05:12:42,42.83083258928571,29.109516964285714,11582.0,246.75312250592185,0.0,302.0
20230526,692,48ae05,2023-05-26 08:12:52,48.09541566615597,22.23467913292048,11128.650564353713,256.84154914177213,-24.833823646871988,149.99778729699273,0,0,-1,2023-05-26 08:48:52,44.94083266897017,27.4379158749697,11125.470762328097,253.51303665024756,-3.238834349741221,132.21391629894967,2023-05-26 08:36:52,45.213081347254324,24.648899099108696,11128.650564353713,242.55939957405374,-6.506180524898191,130.74645532628153,76cdaf,2023-05-26 08:36:21,45.168757683741646,24.545766815144766,11229.449888641426,244.3841837700097,-6.506180524898191,114.84409799554565
20230526,692,4aca12,2023-05-26 12:29:09,43.44425442908689,7.096930435911808,11478.66461692314,229.87897779625683,-4.012700059015909,43.489079943831925,0,0,-1,2023-05-26 13:03:09,47.22915926767828,9.631537736585194,11585.447709416894,225.4418345387632,0.17298097842205767,27.617850638555172,2023-05-26 12:48:09,45.15411670586296,9.358937514722971,11478.66461692314,231.58040193076772,0.0,24.32594851175233,abf0c7,2023-05-26 12:48:05,45.19652995461422,9.38158895612708,10972.0,229.24954326862422,0.0,301.69742813918305
20230526,692,4d2386,2023-05-26 11:26:13,47.01730262760722,8.449182242273487,11316.91508979178,230.2751509121972,0.39153066315823953,159.58563860574057,0,1,0,2023-05-26 13:27:13,46.90171311857105,7.052185573499014,11270.535854714075,225.55474504049758,-1.3687560706920685,320.3959224451057,2023-05-26 11:26:13,47.01730262760722,8.449182242273487,11316.91508979178,230.2751509121972,0.0,159.58563860574057,300224,2023-05-26 11:25:44,46.941058019281336,8.51466365030675,10790.814899211218,228.47613890843868,0.0,194.45912357581068
20230724,229,407f61,2023-07-24 14:43:57,49.96828282786965,5.417077008905569,10567.650623702104,245.90252193408693,-0.9184060053177517,116.98031702087394,0,0,1,2023-07-24 15:06:57,47.73771377954066,7.907018287763452,10564.557429279112,239.0271360481104,-6.49572531567801,135.4186092745109,2023-07-24 14:47:57,49.726981486846185,6.147879802738766,10567.650623702104,238.47279161391006,3.1604304842948316,128.38965751927708,485122,2023-07-24 14:47:49,49.66250655737705,6.2562311475409835,10458.0,228.5893205152999,3.1604304842948316,155.31147540983608
20230724,229,4b9856,2023-07-24 14:15:36,45.79216352190373,14.545647862276557,10241.024021684962,188.41951727454006,-6.773446171645569,299.40981094872086,0,0,-1,2023-07-24 15:00:36,45.35694632295303,8.097235046845626,10558.129259080395,195.70735098913065,1.498175966910603,277.5400453121149,2023-07-24 14:35:36,46.78958061926195,11.988262274712671,10241.024021684962,192.45576030757667,-1.7868182857889754,259.37886755368737,471faa,2023-07-24 14:34:38,46.7074099009901,11.871328712871287,10728.198019801981,190.45483107694824,-1.7868182857889754,244.0
20230724,229,7103d7,2023-07-24 13:58:41,49.16463588996767,5.267701609164589,11683.126555048433,259.8594695711709,-3.9567228566382653,127.97921135899983,-1,0,0,2023-07-24 14:13:41,47.82277922361938,7.795580632081584,11762.245647734444,251.35076936190228,0.18062033266409894,125.91748498103412,2023-07-24 13:59:41,49.078239585597835,5.43592356993481,11683.126555048433,255.11981311587397,2.037437524029219,128.1244860497166,406fdb,2023-07-24 13:59:41,49.10715588235294,5.445626470588235,11256.06862745098,241.89605390677406,2.037437524029219,128.9313725490196
20240528,1475,7c6c90,2024-05-28 19:45:37,-35.094829155164696,146.3959489499405,10980.383271359155,222.30847550807357,-0.9824222382758883,220.28983341070483,0,-1,0,2024-05-28 21:46:37,-34.06482619131332,148.03776073436424,10938.366739275254,230.2170651491242,-9.425206285621744,71.31553900819526,2024-05-28 19:49:37,-35.46150468575808,146.01650419263186,10980.383271359155,218.6184844144745,-0.011445656208916962,219.13703862541135,7c6b31,2024-05-28 19:48:52,-35.470759331199645,146.03909420593754,11023.007173601149,222.64474678748564,-0.011445656208916962,208.7612239267189
